#Supplementary Table 4. Continuous Alcohol Phenotype: The CpGs with P<1x10-7 in Meta-analysis  of Monocyte Samples,,,,,,,,,,,
#IlmnID,"UCSC Gene",Chr,Position,Beta,SE,P,"Beta Change","UCSC_CpG_Islands_Name","Relation_to_UCSC_CpG_Island",Enhancer,DHS
cpg,gene,chr,position,beta,se,p.value,beta,cpg.island,relation,enhancer,dhs
cg25190722,DFFB,1,3801660,-1.81E-04,2.79E-05,1.19E-10,2,,,,
cg12133952,SLC6A9,1,44497352,-2.27E-04,3.96E-05,1.17E-08,1,chr1:44495629-44497112,S_Shore,,
cg06983052,LRRC8D,1,90288099,-3.60E-04,6.19E-05,7.81E-09,2,chr1:90286189-90287222,S_Shore,,
cg14476101,PHGDH,1,120255992,-7.14E-04,1.22E-04,6.62E-09,2,chr1:120254844-120255499,S_Shore,,
cg25386133,FAM189B,1,155217830,-2.39E-04,3.44E-05,6.34E-12,2,chr1:155220082-155220549,N_Shelf,,
cg00767642,NMNAT2,1,183387422,1.51E-04,2.59E-05,7.07E-09,2,chr1:183386000-183387664,Island,,
cg16365424,,1,234700636,-1.60E-04,2.87E-05,2.94E-08,0,,,1,1
cg14478895,,2,10692118,-1.10E-04,1.66E-05,4.66E-11,3,,,,
cg24527751,TLK1,2,171877888,-1.85E-04,3.04E-05,1.58E-09,1,,,1,
cg20140201,C2orf54,2,241835670,-2.29E-04,3.55E-05,1.70E-10,3,,,,
cg17619311,ZNF662,3,42947565,2.73E-04,4.93E-05,3.90E-08,6,chr3:42947480-42948170,Island,,
cg24384244,ZNF662,3,42947690,2.50E-04,2.71E-05,1.14E-19,2,chr3:42947480-42948170,Island,,
cg01357292,ZNF662,3,42947771,1.63E-04,2.39E-05,1.40E-11,3,chr3:42947480-42948170,Island,,
cg20832020,TIGIT,3,114012912,-2.10E-04,3.51E-05,2.96E-09,1,,,,
cg11034122,SLC12A8,3,124879970,-2.18E-04,3.31E-05,7.67E-11,2,,,1,
cg06690548,SLC7A11,4,139162808,-1.07E-03,8.84E-05,1.24E-31,0,,,,
cg22754176,RHOBTB3,5,95066806,1.61E-04,2.68E-05,2.44E-09,3,chr5:95066876-95067812,N_Shore,,1
cg05838308,TGFBI,5,135367668,-2.58E-04,3.23E-05,2.74E-15,3,chr5:135364507-135365036,S_Shelf,1,
cg19017803,LOC285627,5,158893488,-2.26E-04,2.75E-05,5.07E-16,1,,,,
cg07496207,ERGIC1,5,172280684,-3.28E-04,6.08E-05,8.69E-08,3,,,1,
cg24928581,PPT2,6,32122175,1.47E-04,2.49E-05,4.15E-09,1,chr6:32121829-32122529,Island,,
cg17990771,,6,32223226,1.47E-04,2.54E-05,9.59E-09,1,,,1,1
cg18336453,PTK7,6,43082296,-4.23E-04,7.24E-05,6.58E-09,4,,,,
cg18133076,GPR111,6,47623751,-2.24E-04,2.95E-05,7.61E-14,1,,,,
cg21379546,KIAA1908,7,1624987,-2.36E-04,4.26E-05,3.69E-08,1,,,,
cg13804356,,7,36345224,-1.63E-04,2.60E-05,4.92E-10,1,,,,
cg10649802,,8,57805770,-1.40E-04,2.56E-05,5.60E-08,1,,,1,
cg16663900,,10,22540745,1.55E-04,1.79E-05,1.42E-17,1,chr10:22540707-22542739,Island,,1
cg11229185,,10,22625274,3.48E-04,5.68E-05,1.28E-09,3,chr10:22623350-22625875,Island,,
cg02097843,,10,33269812,9.60E-05,1.79E-05,9.68E-08,0,chr10:33269511-33269870,Island,,
cg17295910,EBF3,10,131731569,-2.53E-04,4.24E-05,3.33E-09,3,,,,
cg11376147,SLC43A1,11,57261198,-5.79E-04,5.79E-05,1.26E-22,2,,,1,1
cg11724562,NADSYN1,11,71196642,-1.73E-04,2.84E-05,1.46E-09,2,,,,
cg17464820,SIK3,11,116838417,-4.38E-04,7.33E-05,2.93E-09,4,,,1,
cg14351692,GRIN2B,12,13716374,-2.39E-04,3.99E-05,2.91E-09,4,chr12:13715849-13717034,Island,,
cg21638454,,12,27345419,-2.66E-04,4.86E-05,5.44E-08,3,,,1,
cg03432814,,12,117037220,-4.54E-04,7.36E-05,9.24E-10,2,,,,1
cg20531035,,12,133028375,-2.42E-04,3.55E-05,1.53E-11,2,,,,
cg04561389,FGF14,13,103052468,4.61E-04,4.59E-05,8.93E-23,1,chr13:103052361-103052944,Island,,
cg18771357,EFNB2,13,107186870,1.24E-04,1.92E-05,1.61E-10,4,chr13:107186468-107189024,Island,,
cg00738309,RASA3,13,114748624,-3.05E-04,4.21E-05,8.10E-13,2,chr13:114748541-114748751,Island,,
cg13526915,,14,24164078,-3.66E-04,5.84E-05,5.12E-10,0,,,1,
cg04855004,C14orf115,14,74822139,-2.23E-04,3.24E-05,1.13E-11,1,chr14:74823935-74824137,N_Shore,,
cg27150010,TMED10,14,75643321,4.14E-04,3.95E-05,1.30E-24,2,chr14:75642864-75643376,Island,,
cg00716257,JDP2,14,75897417,-3.46E-04,5.97E-05,8.59E-09,2,chr14:75894308-75895469,S_Shore,,1
cg26724572,PAR-SN,15,25226703,-1.90E-04,3.22E-05,5.07E-09,4,,,,
cg02712036,RAB27A,15,55569533,2.56E-04,3.11E-05,5.22E-16,1,,,1,
cg15268200,ZNF774,15,90904599,-1.96E-04,3.39E-05,9.35E-09,2,,,,
cg02062418,CCDC154,16,1494677,-2.01E-04,3.64E-05,4.06E-08,2,chr16:1495039-1495366,N_Shore,,
cg04245634,ZSCAN10,16,3140535,-2.09E-04,3.51E-05,3.83E-09,0,chr16:3139033-3140536,Island,,
cg07537551,VWA3A,16,22115461,-1.42E-04,2.58E-05,4.14E-08,1,,,1,
cg00622166,GPT2,16,46919021,-3.79E-04,7.03E-05,8.40E-08,3,chr16:46917849-46918957,S_Shore,,
cg23684449,GPT2,16,46919194,-3.87E-04,6.97E-05,3.36E-08,1,chr16:46917849-46918957,S_Shore,,
cg21622464,DYNLL2,17,56164461,-2.80E-04,3.03E-05,1.25E-19,1,chr17:56160754-56161494,S_Shelf,,
cg07737179,C19orf70,19,5678497,-2.01E-04,2.62E-05,3.89E-14,1,chr19:5680433-5681417,N_Shore,,
cg12953628,CD320,19,8372962,2.14E-04,2.63E-05,1.16E-15,1,chr19:8372597-8373302,Island,1,
cg22304262,SLC1A5,19,47287778,-3.75E-04,6.47E-05,8.57E-09,2,chr19:47290585-47291983,N_Shelf,,
cg02711608,SLC1A5,19,47287964,-4.19E-04,7.58E-05,3.97E-08,5,chr19:47290585-47291983,N_Shelf,,
cg13506058,AP2A1,19,50270010,4.50E-04,4.11E-05,1.40E-26,2,chr19:50269632-50270505,Island,,
cg08873940,CTU1,19,51607432,-1.56E-04,1.78E-05,6.39E-18,1,chr19:51607207-51607840,Island,,
cg12096988,ZNF264,19,57702809,1.92E-04,2.65E-05,6.75E-13,1,chr19:57702696-57703425,Island,,
cg04800749,CRELD2,22,50320996,-2.36E-04,4.24E-05,3.12E-08,2,chr22:50322570-50323451,N_Shore,,
