cpg,beta,se,p,i2,p_het,dmr
cg01199495,-0.0535333901047169,0.0125523893715165,5.21561580240503e-05,,,No
cg01418124,-0.0063832929522795,0.00145285070662438,3.2708225446134e-05,,,No
cg02935780,0.0403460121327443,0.00892225103181938,1.99431262506768e-05,,,No
cg03046843,0.019431073058137,0.00454103303243367,4.94993016872701e-05,,,No
cg03410667,0.0292124166889529,0.00694173909131552,6.41701742977935e-05,,,No
cg04556519,-0.0144138318561526,0.00344106740336301,6.88884013738466e-05,,,No
cg06205614,0.0337123921214117,0.00732361900538677,1.46254974096565e-05,,,No
cg06207728,0.0251046712393546,0.00606974681671312,8.34142227330691e-05,,,No
cg06842518,-0.00144455451069083,0.000340393147735008,5.63413633623117e-05,,,No
cg08238375,-0.278549285083986,0.0654819828142199,5.43012460477409e-05,,,No
cg08515713,-0.00320886905216291,0.000766497676348264,6.94837160670104e-05,,,No
cg09471658,-0.00812676117801087,0.00191087072190906,5.44852227501321e-05,,,No
cg10558755,0.0354655266374941,0.00838702987697578,5.95612475127966e-05,,,No
cg10941424,0.0215535041240348,0.00497731555497905,4.09402417008318e-05,,,No
cg11854691,0.0387458415430088,0.0088360092960523,3.3779021092959e-05,,,No
cg13336814,-0.0199454489769857,0.0041758676977406,7.48465030211566e-06,,,No
cg13489501,0.00538192899152442,0.00121688133470191,2.93389066317526e-05,,,No
cg13628643,0.020200956002572,0.00480353804720338,6.48281080346819e-05,,,No
cg13858685,0.0250920306746266,0.00589429170018454,5.36717094010292e-05,,,No
cg14647989,-0.0210269028884702,0.00491001196361702,4.88727563840095e-05,,,No
cg16579844,-0.00341046173453655,0.000715244794556085,7.83968257661195e-06,,,No
cg16834708,-0.00292094359512031,0.000686253666994977,5.43439269992445e-05,,,No
cg18192414,-0.0396203438040509,0.00944557937025967,6.74424778823037e-05,,,No
cg22126033,-0.0148288533018306,0.00350936722779462,6.08386579516876e-05,,,No
cg22209918,-0.0309468189329497,0.00747626663921326,8.2422245705284e-05,,,No
cg22323778,-0.00250579423159868,0.000510431895161275,4.4396798544476e-06,,,No
cg22491279,-0.00166279897153043,0.000402461663402595,8.47701017678821e-05,,,No
cg22833612,-0.0423336310368854,0.0093879973086941,2.09212217380171e-05,,,No
cg23384185,-0.00414460961012148,0.00101096681720528,9.5108251884946e-05,,,No
cg24557058,0.00815623449111246,0.00186888857274445,3.60970318322436e-05,,,No
cg25199188,0.0286625086428219,0.00662612906220449,4.16550782455862e-05,,,No
cg25397280,-0.005548519664065,0.00129584985943776,4.89978253570112e-05,,,No
cg25486749,-0.0390695065305793,0.0084933071042989,1.48063837634034e-05,,,No
cg27037013,-0.046403741361838,0.0108776635564065,5.19323546823938e-05,,,No
