CHR,Position,CpG,Mapped Gene,Nearest Gene (10 Mb),Gene Group,Coef,SE,P,Direction
5,373378,cg05575921,AHRR,AHRR       ,Body,-0.064,0.002,1.64E-193,---------
7,45002919,cg12803068,MYO1G,MYO1G      ,Body,0.07,0.003,2.64E-134,+++++++++
7,45002736,cg04180046,MYO1G,MYO1G      ,Body,0.05,0.002,4.18E-124,+++++++++
7,145814306,cg25949550,CNTNAP2,CNTNAP2     ,Body,-0.014,0.001,1.68E-119,---------
1,92947588,cg09935388,GFI1,GFI1       ,Body;Body;Body,-0.099,0.004,6.61E-111,---------
1,92947961,cg14179389,GFI1,GFI1       ,Body;Body;Body,-0.068,0.003,2.79E-101,---------
7,45002486,cg22132788,MYO1G,MYO1G      ,Body,0.023,0.001,2.85E-100,+++++++++
1,92946825,cg12876356,GFI1,GFI1       ,Body;Body;Body,-0.094,0.005,8.35E-99,---------
1,92946700,cg18146737,GFI1,GFI1       ,Body;Body;Body,-0.094,0.005,6.14E-91,---------
7,45002287,cg19089201,MYO1G,MYO1G      ,3'UTR,0.019,0.001,3.56E-78,+++++++++
1,92946132,cg09662411,GFI1,GFI1       ,Body;Body;Body,-0.054,0.003,6.35E-76,---------
1,92947035,cg18316974,GFI1,GFI1       ,Body;Body;Body,-0.052,0.003,1.47E-67,---------
15,75019251,cg22549041,CYP1A1,AHRR       ,TSS1500,0.066,0.004,3.59E-60,+++++++++
5,405774,cg22937882,AHRR;LOC100310782,AHRR       ,Body;TSS1500,0.013,0.001,4.54E-60,+++++++++
5,323907,cg23067299,AHRR,AHRR       ,Body,0.029,0.002,9.93E-57,+++++++++
5,399360,cg21161138,AHRR,AHRR       ,Body,-0.022,0.001,1.78E-54,---------
15,75019302,cg18092474,CYP1A1,AHRR       ,TSS1500,0.052,0.003,8.13E-51,+++++++++
15,75019203,cg12101586,CYP1A1,AHRR       ,TSS1500,0.045,0.003,3.67E-50,+++++++++
15,75019143,cg05549655,CYP1A1,AHRR       ,TSS1500,0.019,0.001,1.08E-49,+++++++++
5,323969,cg08606254,AHRR,AHRR       ,Body,0.025,0.002,1.85E-49,+++++++++
1,92946187,cg06338710,GFI1,GFI1       ,Body;Body;Body,-0.037,0.003,5.56E-49,---------
20,50312490,cg07339236,ATP9A,ATP9A      ,Body,-0.013,0.001,1.39E-48,---------
15,75019283,cg11924019,CYP1A1,AHRR       ,TSS1500,0.025,0.002,1.19E-47,+++++++++
5,368843,cg11902777,AHRR,AHRR       ,Body,-0.007,0.001,6.09E-43,---------
15,75019196,cg13570656,CYP1A1,AHRR       ,TSS1500,0.047,0.004,6.31E-41,+++++++++
10,14372879,cg11813497,FRMD4A,FRMD4A      ,TSS200,0.027,0.002,1.88E-37,+++++++++
15,75019376,cg26516004,CYP1A1,AHRR       ,TSS1500,0.013,0.001,6.13E-37,+++++++++
16,54210496,cg00253658,,FTO       ,,0.043,0.003,7.18E-37,+++++++++
1,92945668,cg10399789,GFI1,GFI1       ,Body;Body;Body,-0.026,0.002,1.17E-34,---------
10,14372910,cg25464840,FRMD4A,FRMD4A      ,TSS200,0.021,0.002,1.26E-34,+++++++++
5,134813329,cg11429111,,TIFAB      ,,0.03,0.002,8.81E-34,+++++++++
10,14372913,cg15507334,FRMD4A,FRMD4A      ,TSS200,0.02,0.002,8.96E-34,+++++++++
1,68299493,cg25189904,GNG12,GNG12      ,TSS1500,-0.024,0.002,1.38E-32,---------
2,105363536,cg18703066,,,,-0.008,0.001,4.63E-29,---------
16,54210550,cg26681628,,FTO       ,,0.022,0.002,1.35E-28,+++++++++
5,368447,cg03991871,AHRR,AHRR       ,Body,-0.015,0.001,3.63E-27,---------
5,134813213,cg01952185,,TIFAB      ,,0.029,0.003,8.67E-27,+++++++++
10,14372431,cg20344448,FRMD4A,FRMD4A      ,5'UTR,0.018,0.002,1.23E-26,+++++++++
15,90361639,cg13834112,,ANPEP      ,,0.022,0.002,6.33E-25,+++++++++
5,368804,cg23916896,AHRR,AHRR       ,Body,-0.012,0.001,1.00E-24,---------
6,684090,cg26889659,EXOC2,EXOC2      ,5'UTR,-0.042,0.004,1.14E-24,---------
1,68299511,cg26764244,GNG12,GNG12      ,TSS1500,-0.016,0.002,1.89E-24,---------
7,68697651,cg04598670,,AUTS2      ,,-0.024,0.002,5.35E-24,---------
15,75045126,cg01359532,CYP1A2,CYP1A2      ,Body,0.015,0.002,3.27E-23,+++++++++
3,11623873,cg18096987,VGLL4,VGLL4      ,Body;TSS200;Body,-0.017,0.002,5.65E-23,---------
5,323794,cg17924476,AHRR,AHRR       ,Body,0.019,0.002,8.80E-23,+++++++++
1,92947332,cg04535902,GFI1,GFI1       ,Body;Body;Body,-0.024,0.003,1.39E-22,---------
15,75019070,cg00213123,CYP1A1,AHRR       ,TSS1500,0.012,0.001,2.02E-22,++++++-++
7,147718109,cg15578140,MIR548F3;CNTNAP2,CNTNAP2     ,Body;Body,0.016,0.002,1.54E-21,+++++++++
16,67143304,cg04358214,C16orf70,C16orf70     ,TSS1500,0.03,0.003,3.45E-21,+++++++++
6,170403583,cg10312186,,LOC154449    ,,-0.018,0.002,4.42E-21,---------
19,15528589,cg08097581,AKAP8L,AKAP8L      ,Body,-0.01,0.001,1.80E-20,---------
15,90291756,cg23335299,,MESP1      ,,0.026,0.003,2.70E-20,+++++++++
5,368394,cg12806681,AHRR,AHRR       ,Body,-0.01,0.001,4.44E-20,---------
5,323320,cg01970407,AHRR,AHRR       ,Body,0.014,0.002,6.80E-20,+++++--++
11,125386885,cg18493761,,FEZ1       ,,0.025,0.003,9.32E-20,+++++++++
19,17007057,cg26652413,CPAMD8,CPAMD8      ,Body,0.007,0.001,1.12E-19,+++++++++
14,54418728,cg05928290,BMP4,BMP4       ,Body;Body;Body,0.024,0.003,1.48E-19,+++++++++
1,230415668,cg03144619,GALNT2,GALNT2      ,3'UTR,-0.03,0.003,1.53E-19,---------
22,39852862,cg20806180,MGAT3,MGAT3      ,TSS1500,0.008,0.001,3.35E-19,+++++++++
14,54418804,cg05923197,BMP4,BMP4       ,Body;Body;Body,0.029,0.003,1.08E-18,+++++++++
6,166260572,cg18132363,,LINC00473    ,,-0.021,0.002,1.16E-18,---------
2,179184864,cg13547053,OSBPL6,OSBPL6      ,TSS200;Body,0.013,0.002,2.11E-18,+++++++++
11,68138269,cg21611682,LRP5,LRP5       ,Body,-0.013,0.002,4.32E-18,--?------
12,1952798,cg10520740,CACNA2D4,CACNA2D4     ,Body,-0.011,0.001,6.08E-18,---------
6,28227085,cg10253847,NKAPL,NKAPL      ,TSS200,0.011,0.001,7.10E-18,+++++++++
15,75019188,cg17852385,CYP1A1,AHRR       ,TSS1500,0.014,0.002,7.30E-18,+++++++++
20,19193989,cg20244340,SLC24A3,SLC24A3     ,Body,-0.012,0.001,1.18E-17,---------
7,146904205,cg11207515,CNTNAP2,CNTNAP2     ,Body,-0.023,0.003,1.93E-17,---------
5,377358,cg26703534,AHRR,AHRR       ,Body,-0.009,0.001,2.14E-17,---------
14,54418851,cg09367901,BMP4,BMP4       ,Body;Body;Body,0.019,0.002,3.98E-17,+++++++++
1,3058822,cg22510139,PRDM16,PRDM16      ,Body;Body,-0.012,0.002,8.04E-17,---------
5,173947646,cg14736365,,MSX2       ,,0.02,0.002,9.06E-17,++++++-++
17,47077165,cg07738730,IGF2BP1,IGF2BP1     ,Body;Body,-0.021,0.003,1.05E-16,---------
6,170403557,cg11625488,,LOC154449    ,,-0.017,0.002,2.35E-16,---------
10,102778743,cg05593775,PDZD7,PDZD7      ,Body,0.016,0.002,2.99E-16,++++++-++
1,230415225,cg24591105,GALNT2,GALNT2      ,3'UTR,-0.02,0.002,3.55E-16,---------
6,28227127,cg18675097,NKAPL,NKAPL      ,5'UTR;1stExon,0.025,0.003,4.83E-16,+++++++++
2,235213874,cg11641006,,ARL4C      ,,0.019,0.002,5.01E-16,+++++++++
1,230415377,cg05697274,GALNT2,GALNT2      ,3'UTR,-0.015,0.002,5.24E-16,---------
1,230415547,cg24250902,GALNT2,GALNT2      ,3'UTR,-0.027,0.003,6.63E-16,---------
1,2792704,cg15325070,,ACTRT2      ,,0.014,0.002,7.51E-16,+++++++++
9,134609065,cg13784312,RAPGEF1,RAPGEF1     ,Body,-0.016,0.002,1.63E-15,---------
20,62406428,cg14251267,ZBTB46,ZBTB46      ,Body,-0.024,0.003,2.00E-15,---------
6,37142220,cg25325512,PIM1,PIM1       ,3'UTR,-0.021,0.003,2.60E-15,---------
15,39872186,cg23849826,THBS1,THBS1      ,TSS1500,0.009,0.001,4.28E-15,+++++++++
1,230415185,cg19727396,GALNT2,GALNT2      ,Body,-0.02,0.003,4.45E-15,---------
6,28227079,cg18694169,NKAPL,NKAPL      ,TSS200,0.016,0.002,4.50E-15,+++++++++
19,16437362,cg18473733,KLF2,KLF2       ,Body,-0.01,0.001,5.18E-15,--------+
12,54677008,cg02583484,HNRNPA1;HNRPA1L-2,HNRNPA1     ,Body;Body;Body,-0.006,0.001,6.32E-15,---------
7,145814152,cg16254309,CNTNAP2,CNTNAP2     ,Body,-0.003,0,1.04E-14,---------
1,25253237,cg15963463,RUNX3,RUNX3      ,Body;Body,-0.012,0.002,1.51E-14,---------
16,54228323,cg27520536,,FTO       ,,0.008,0.001,1.51E-14,+++++++++
14,101294147,cg08698721,MEG3,MEG3       ,Body;Body;Body,0.012,0.002,1.77E-14,+++++++++
15,39872032,cg10078511,THBS1,THBS1      ,TSS1500,0.013,0.002,1.81E-14,+++++++++
12,54146133,cg22171758,,CALCOCO1     ,,0.015,0.002,2.15E-14,+++++++++
5,392920,cg14817490,AHRR,AHRR       ,Body,-0.015,0.002,3.13E-14,---------
4,17781880,cg16449012,FAM184B,FAM184B     ,Body,0.015,0.002,3.62E-14,+++++++++
17,47590326,cg17369032,NGFR,NGFR       ,Body,0.013,0.002,5.40E-14,++++++-++
6,28227091,cg01031101,NKAPL,NKAPL      ,TSS200,0.016,0.002,7.56E-14,+++++++++
15,36650033,cg03796381,,C15orf41     ,,0.013,0.002,8.17E-14,+++++++++
4,15480781,cg20816447,CC2D2A,CC2D2A      ,Body;Body;Body,-0.02,0.003,9.44E-14,---------
