#CpG,Coefficient estimate (slope),Standard error,p value,Bonferroni p,q value (FDR),Gene
cpg,beta,std.err,p.value,bonferroni,fdr,gene
cg04347477,-0.0045958776,0.0001988,6.06E-96,2.87E-90,1.73E-90,NCOR2
cg04685228,-0.0032243049,0.000156078,7.46E-80,3.54E-74,1.07E-74,NA
cg08817867,-0.0028516337,0.0001411388,5.79E-77,2.74E-71,5.52E-72,NA
cg02430430,-0.0023069181,0.0001147478,2.50E-76,1.18E-70,1.78E-71,CCDC33
cg26027170,-0.0018716854,9.75E-05,1.26E-70,5.95E-65,7.18E-66,NA
cg08943494,-0.0045937305,0.0002433572,1.12E-68,5.33E-63,5.36E-64,PRR5L
cg02001279,-0.002539019,0.0001346055,1.37E-68,6.48E-63,5.58E-64,ARID3A
cg17133774,-0.0028571993,0.0001518478,2.64E-68,1.25E-62,8.46E-64,CHD5
cg19115490,-0.0014793083,7.86E-05,2.66E-68,1.26E-62,8.46E-64,NA
cg26800893,-0.0015255645,8.16E-05,1.52E-67,7.19E-62,4.34E-63,CARNS1
cg07835443,-0.0038553524,0.0002091581,5.76E-66,2.73E-60,1.50E-61,SPATA33
cg16103712,-0.0036040913,0.0001963242,1.64E-65,7.76E-60,3.90E-61,MATN2
cg19439123,-0.002782279,0.0001532664,2.92E-64,1.38E-58,6.41E-60,RAI1
cg09915396,-0.0018867027,0.0001041344,4.59E-64,2.18E-58,9.38E-60,RAP1GAP2
cg06870470,-0.002731003,0.0001510284,7.61E-64,3.61E-58,1.45E-59,DOCK6
cg08412913,-0.0019589375,0.0001101711,4.79E-62,2.27E-56,8.55E-58,NA
cg13066703,-0.0019901361,0.0001120147,5.81E-62,2.75E-56,9.77E-58,TRAF5
cg12713583,-0.0031846851,0.0001809584,5.76E-61,2.73E-55,9.14E-57,ARID3A
cg18623216,-0.0031241267,0.0001787198,2.93E-60,1.39E-54,4.41E-56,PLCH1
cg27518892,-0.0022137511,0.0001271742,7.81E-60,3.70E-54,1.12E-55,CCDC102A
cg11932158,-0.0029343279,0.0001686356,8.57E-60,4.06E-54,1.17E-55,PLCH1
cg24296397,-0.0019990591,0.0001153054,2.08E-59,9.86E-54,2.70E-55,BSN
cg22828383,-0.0026706825,0.0001547759,6.20E-59,2.94E-53,7.71E-55,NCOR2
cg20334115,-0.0036885824,0.0002171344,2.23E-57,1.05E-51,2.65E-53,PYCR2
cg19744173,-0.0018651609,0.0001110771,3.08E-56,1.46E-50,3.52E-52,FBLN7
cg11934771,-0.0018468931,0.0001103884,6.80E-56,3.22E-50,7.48E-52,HCG22
cg04276536,-0.0016740935,0.0001004888,1.75E-55,8.29E-50,1.85E-51,CCDC102A
cg04411893,-0.0011910944,7.18E-05,4.52E-55,2.14E-49,4.61E-51,NA
cg00442282,-0.0012671476,7.66E-05,7.15E-55,3.39E-49,7.05E-51,RARA
cg16725984,-0.0037231082,0.0002268681,4.62E-54,2.19E-48,4.41E-50,SPATA33
cg05937055,-0.0016496078,0.0001006341,5.91E-54,2.80E-48,5.45E-50,NA
cg27295118,-0.0030826834,0.0001886818,1.20E-53,5.69E-48,1.07E-49,NA
cg07788865,-0.0013707751,8.40E-05,1.68E-53,7.97E-48,1.46E-49,NA
cg07738730,0.002468879,0.0001524973,8.32E-53,3.94E-47,6.99E-49,IGF2BP1
cg21926626,-0.0023630775,0.0001471077,4.27E-52,2.02E-46,3.49E-48,TSNARE1
cg21155834,-0.0012893939,8.13E-05,6.70E-51,3.17E-45,5.32E-47,NA
cg07749613,-0.0007814134,4.93E-05,6.98E-51,3.31E-45,5.39E-47,NA
cg08282819,-0.002730799,0.0001735268,2.86E-50,1.35E-44,2.15E-46,IL21R
cg11360522,-0.0024552506,0.0001567172,7.01E-50,3.32E-44,5.14E-46,ATP11A
cg00654448,-0.0009836793,6.35E-05,6.95E-49,3.29E-43,4.97E-45,NA
cg08576185,-0.002007464,0.0001296922,7.65E-49,3.62E-43,5.33E-45,ZNF598
cg12758082,-0.0014333928,9.35E-05,5.11E-48,2.42E-42,3.48E-44,ATP11A
cg04632887,-0.0020473721,0.0001336029,5.37E-48,2.54E-42,3.57E-44,AVP
cg01154283,-0.0017075562,0.0001116572,7.97E-48,3.78E-42,5.18E-44,CRIM1
cg22365167,-0.0011060862,7.24E-05,1.10E-47,5.20E-42,6.97E-44,AHNAK
cg03047995,-0.0022519199,0.000148683,5.03E-47,2.38E-41,3.13E-43,FITM1
cg23062810,-0.0023516681,0.0001554997,6.85E-47,3.24E-41,4.16E-43,CLIP2
cg15131146,-0.0013728128,9.11E-05,1.35E-46,6.38E-41,8.01E-43,MAN1C1
cg17950169,-0.0011670737,7.77E-05,2.33E-46,1.10E-40,1.36E-42,TMEM63A
cg15035133,-0.0016893868,0.0001129646,5.44E-46,2.58E-40,3.11E-42,CDC42EP1
cg11854981,-0.0021452788,0.0001445597,2.25E-45,1.07E-39,1.26E-41,TRERF1
cg02753354,-0.0015501371,0.0001044723,2.32E-45,1.10E-39,1.27E-41,HMHA1
cg01076459,-0.0015266247,0.0001030838,3.28E-45,1.55E-39,1.77E-41,RAP1GAP2
cg03930153,-0.0029486928,0.000199145,3.39E-45,1.61E-39,1.80E-41,TBL1XR1
cg25114611,-0.0013458571,9.09E-05,3.54E-45,1.68E-39,1.84E-41,NA
cg12170787,-0.0012367806,8.36E-05,4.28E-45,2.03E-39,2.18E-41,SBNO2
cg27448161,-0.0012934757,8.79E-05,9.73E-45,4.61E-39,4.88E-41,SPRYD3
cg25551168,-0.0018222193,0.0001239233,1.18E-44,5.60E-39,5.83E-41,AVP
cg02983090,-0.0026839139,0.0001825566,1.22E-44,5.79E-39,5.92E-41,IL21R
cg01394781,-0.0022119492,0.0001506023,1.46E-44,6.91E-39,6.94E-41,ABCC1
cg16348385,-0.0011110461,7.57E-05,1.62E-44,7.65E-39,7.57E-41,YPEL3
cg18183624,0.0026324526,0.0001796875,2.32E-44,1.10E-38,1.07E-40,IGF2BP1
cg16597079,-0.0011955683,8.17E-05,2.76E-44,1.31E-38,1.25E-40,TRERF1
cg16536918,-0.0019822542,0.0001355036,3.06E-44,1.45E-38,1.37E-40,AVP
cg10249285,-0.0009362805,6.41E-05,3.85E-44,1.82E-38,1.69E-40,NA
cg00220721,-0.0032686701,0.0002239185,4.37E-44,2.07E-38,1.89E-40,PRR5L
cg11882607,-0.0016198713,0.0001110539,5.01E-44,2.37E-38,2.14E-40,CAND2
cg08915038,-0.001203694,8.26E-05,5.63E-44,2.67E-38,2.37E-40,RSG1
cg07638500,0.0014536975,0.0001003467,1.68E-43,7.97E-38,6.96E-40,MYLK
cg19265300,-0.0017811405,0.0001233315,2.92E-43,1.38E-37,1.19E-39,NA
cg26077811,0.0017049651,0.0001181579,3.39E-43,1.61E-37,1.36E-39,USP2
cg04902474,-0.0016651082,0.0001155849,4.47E-43,2.12E-37,1.78E-39,KIAA1522
cg00411595,-0.0009945054,6.91E-05,4.70E-43,2.23E-37,1.84E-39,SLC2A6
cg18598117,-0.0021530082,0.0001497654,6.43E-43,3.05E-37,2.49E-39,ARID3A
cg07338715,-0.0016715368,0.0001166499,1.13E-42,5.33E-37,4.29E-39,NA
cg03747456,-0.0017067699,0.000119848,3.28E-42,1.55E-36,1.23E-38,KRT80
cg00151922,-0.0009851466,6.92E-05,3.75E-42,1.78E-36,1.39E-38,JAG1
cg18608055,-0.0018188171,0.0001278324,3.89E-42,1.84E-36,1.43E-38,SBNO2
cg00522276,-0.0021644229,0.0001523069,4.68E-42,2.22E-36,1.69E-38,NA
cg07106169,-0.0012355591,8.70E-05,5.24E-42,2.48E-36,1.87E-38,NA
cg06947286,-0.0013568758,9.57E-05,6.98E-42,3.30E-36,2.45E-38,PDLIM4
cg03940776,-0.0017313029,0.0001221221,7.04E-42,3.33E-36,2.45E-38,SYNJ2
cg21404980,-0.0021342604,0.0001510663,1.26E-41,5.98E-36,4.34E-38,ZC3H3
cg24144853,-0.0008646217,6.12E-05,1.39E-41,6.59E-36,4.73E-38,NA
cg24916358,-0.0018344957,0.0001299365,1.41E-41,6.70E-36,4.75E-38,FAM53B
cg21132686,-0.0015644389,0.0001108474,1.50E-41,7.11E-36,4.98E-38,NA
cg22820108,-0.0014060092,0.0001003021,4.68E-41,2.22E-35,1.54E-37,NCOR2
cg05283597,-0.0024248087,0.0001730114,4.82E-41,2.28E-35,1.57E-37,ITIH1
cg15540623,-0.0016885827,0.0001205195,5.15E-41,2.44E-35,1.66E-37,ACVR1B
cg10535320,-0.0013229603,9.45E-05,6.01E-41,2.85E-35,1.91E-37,PSMC5
cg12403889,-0.0010775045,7.71E-05,7.44E-41,3.53E-35,2.34E-37,DRAXIN
cg08726900,-0.0024028458,0.0001719193,7.68E-41,3.64E-35,2.39E-37,ANKRD11
cg11118235,-0.0010380366,7.45E-05,1.36E-40,6.45E-35,4.19E-37,GNAI2
cg00682367,-0.0012466508,8.96E-05,1.50E-40,7.11E-35,4.57E-37,NA
cg04272820,-0.0015951931,0.0001146591,1.63E-40,7.72E-35,4.90E-37,THRA
cg17837526,-0.0013562288,9.76E-05,1.84E-40,8.72E-35,5.48E-37,ATP6V0E1
cg23009780,0.0014385554,0.0001035326,2.02E-40,9.58E-35,5.96E-37,NA
cg00481600,-0.0015828805,0.0001139731,2.18E-40,1.03E-34,6.37E-37,CILP
cg16356456,-0.0021336431,0.0001537963,2.59E-40,1.23E-34,7.48E-37,CLIP2
cg01185345,-0.0014535638,0.0001048518,2.92E-40,1.38E-34,8.34E-37,STK24
cg20229014,-0.000821266,5.93E-05,3.68E-40,1.74E-34,1.04E-36,ST3GAL1
