# "S1 Table: Complete list of methylome-wide significant (p-value < 1.2x10-7) CpGs associated with body mass index in the FHS and LBC meta-analysis
# ",,,,,,,,,,,,,,,,,
# ,,,,,FHS - Batch#1 (n=442),,,FHS - Batch#2 (n=1935),,,LBC 1936 (n=920),,,LBC 1921 (n=446),,,Meta-analysis (n=3743)
# Probename,Gene Name,Chromosome,Position,Strand,β,SE,p-value,β,SE,p-value,β,SE,p-value,β,SE,p-value,p-value
cpg,gene,chr,position,strand,beta.fsh1,std.err.fsh1,p.value.fsh1,beta.fhs2,std.err.fhs2,p.value.fhs2,beta.lbc36,std.err.lbc36,p.value.lbc36,beta.lbc21,std.err.lbc21,p.value.lbc21,p.value
cg06500161,ABCG1,21,43656587,F,0.0355,0.00955,2.82E-04,0.0475,0.00397,2.76E-31,0.0090,0.00145,7.78E-10,0.0064,0.00210,2.47E-03,7.55E-43
cg00574958,CPT1A,11,68607622,F,-0.0429,0.00956,1.40E-05,-0.0422,0.00403,1.18E-24,-0.0083,0.00212,1.06E-04,-0.0041,0.00321,1.98E-01,2.20E-29
cg11024682,SREBF1,17,17730094,R,0.0092,0.00980,3.48E-01,0.0319,0.00405,6.87E-15,0.0063,0.00105,2.76E-09,0.0046,0.00204,2.41E-02,4.82E-22
cg17501210,RPS6KA2,6,166970252,R,-0.0295,0.00888,1.12E-03,-0.0322,0.00384,1.27E-16,-0.0074,0.00174,2.21E-05,-0.0018,0.00273,5.00E-01,4.14E-21
cg04927537,LGALS3BP,17,76976091,R,0.0288,0.00968,3.37E-03,0.0254,0.00410,7.84E-10,0.0070,0.00173,5.31E-05,0.0074,0.00281,8.28E-03,7.11E-17
cg06397161,SYNGR1,22,39760059,F,0.0246,0.00955,1.10E-02,0.0261,0.00401,1.11E-10,0.0054,0.00144,1.82E-04,0.0062,0.00228,6.91E-03,1.02E-16
cg14870271,LGALS3BP,17,76976010,F,0.0352,0.00962,3.51E-04,0.0232,0.00412,2.42E-08,0.0060,0.00153,9.12E-05,0.0055,0.00203,6.81E-03,4.87E-16
cg27243685,ABCG1,21,43642366,F,0.0162,0.00979,1.00E-01,0.0321,0.00411,1.37E-14,0.0054,0.00193,5.62E-03,0.0036,0.00282,2.07E-01,2.29E-15
cg11202345,LGALS3BP,17,76976057,F,0.0275,0.00960,4.70E-03,0.0216,0.00411,1.70E-07,0.0080,0.00196,4.57E-05,0.0090,0.00294,2.33E-03,6.22E-15
cg20496314,SYNGR1,22,39759864,F,0.0151,0.00974,1.22E-01,0.0212,0.00416,4.21E-07,0.0063,0.00134,2.64E-06,0.0055,0.00223,1.39E-02,2.07E-13
cg19750657,UFM1,13,38935967,F,0.0143,0.00970,1.44E-01,0.0312,0.00411,6.59E-14,0.0061,0.00244,1.31E-02,0.0021,0.00375,5.73E-01,2.21E-13
cg07094298,TNIP2,4,2748026,F,-0.0143,0.00923,1.22E-01,-0.0208,0.00398,2.16E-07,-0.0132,0.00274,1.71E-06,-0.0073,0.00407,7.31E-02,4.14E-13
cg25178683,LGALS3BP,17,76976267,R,0.0192,0.00952,4.60E-02,0.0207,0.00406,4.27E-07,0.0069,0.00150,5.13E-06,0.0044,0.00247,7.26E-02,5.85E-13
cg03078551,,17,41656298,F,-0.0244,0.00955,1.15E-02,-0.0317,0.00409,1.92E-14,-0.0021,0.00270,4.27E-01,-0.0033,0.00296,2.58E-01,7.11E-13
cg06690548,SLC7A11,4,139162808,R,-0.0160,0.00972,1.02E-01,-0.0217,0.00408,1.27E-07,-0.0181,0.00396,5.74E-06,-0.0063,0.00576,2.77E-01,2.75E-12
cg17901584,DHCR24,1,55353706,F,-0.0433,0.00950,1.05E-05,-0.0244,0.00414,4.80E-09,-0.0030,0.00181,9.31E-02,-0.0036,0.00298,2.31E-01,2.87E-12
cg10179300,TRIO,5,14147618,F,0.0170,0.00981,8.43E-02,0.0236,0.00411,1.19E-08,0.0076,0.00242,1.81E-03,0.0071,0.00378,6.23E-02,5.71E-12
