cpg,beta,se,p,i2,p_het,dmr
cg00000714,-0.0261955765021693,0.00636839631776147,9.05239471647376e-05,,,No
cg00022606,-0.00632885992495686,0.00148336458470031,5.18194918118138e-05,,,No
cg00049440,-0.060310260420403,0.0121771614150582,3.73487018312438e-06,,,No
cg00067518,0.0608232487315505,0.0133429845612236,1.73576492203135e-05,,,No
cg00079023,0.0338169599081574,0.00509558380589181,2.96352699953711e-09,,,No
cg00087425,-0.015402919740633,0.00331697791109386,1.25221172847479e-05,,,No
cg00093643,-0.0520821686597248,0.0112702600287026,1.36515442935807e-05,,,No
cg00099835,-0.0237640388980466,0.00555667876196288,4.99271736725789e-05,,,No
cg00108098,0.0426745156222564,0.00989056627720162,4.33892829021314e-05,,,No
cg00115288,-0.0295212441634204,0.00657264475332237,2.23806310384159e-05,,,No
cg00119811,-0.0308172116192229,0.00660841596009135,1.16079394125325e-05,,,No
cg00124004,-0.0356123280355189,0.00797569091292488,2.47298643698577e-05,,,No
cg00124095,-0.0438785257929885,0.00914700849469248,6.9033905555354e-06,,,No
cg00174279,0.0326498416529601,0.00744510426891831,3.33531479571729e-05,,,No
cg00213295,0.060586310869364,0.0127726239780089,8.50940271681505e-06,,,No
cg00233307,-0.019643293411204,0.00477537458649839,9.04961991113593e-05,,,No
cg00245890,0.0511449788954719,0.0112281080218334,1.75814151109114e-05,,,No
cg00257775,-0.116703898002523,0.0169324501886551,9.44866120484238e-10,,,No
cg00283524,0.0535689022578003,0.0118008823585152,1.86637112211325e-05,,,No
cg00336149,-0.0668114871590217,0.0123810797671682,6.17721480028636e-07,,,No
cg00377358,0.034080578909185,0.00738978591236557,1.4150653483345e-05,,,No
cg00383763,0.0650381945440229,0.0126779800370962,1.83478326545615e-06,,,No
cg00414077,0.0322870744427503,0.00739081115727011,3.55198009355201e-05,,,No
cg00430895,-0.0297772372172017,0.00705212468127041,6.0920515808552e-05,,,No
cg00451635,0.0466385061588262,0.010653269037828,3.43069290001533e-05,,,No
cg00455386,-0.0374771605910578,0.00871424954702314,4.56939998454771e-05,,,No
cg00466249,-0.0581019948165704,0.0112793530093301,1.68417244727708e-06,,,No
cg00476955,-0.137408311337625,0.0317704549109714,4.17547589331995e-05,,,No
cg00481600,-0.0404327465320189,0.0069148194580623,9.27842321543451e-08,,,No
cg00491255,0.109150270350812,0.0215142728806849,2.30534264607916e-06,,,No
cg00509772,0.0234555074970295,0.00543092658894053,4.27182659100589e-05,,,No
cg00521464,0.0449585775494435,0.00959442002557384,1.0638186468535e-05,,,No
cg00522276,-0.0335156979125271,0.00767902401192798,3.60484867043173e-05,,,No
cg00525011,-0.048632399902252,0.0103649932192916,1.03909543759144e-05,,,No
cg00547103,-0.0543437399773567,0.0108473607012234,2.97418102450749e-06,,,No
cg00587472,-0.0879303286139339,0.017523508171608,2.88062985212286e-06,,,No
cg00595243,-0.0593729281449627,0.0113443229692146,1.20420645492323e-06,,,No
cg00608540,0.0558009647149372,0.00944341634234929,7.12575231040462e-08,,,No
cg00622552,0.055336446381199,0.00817199220092379,1.62367572340965e-09,,,No
cg00637144,-0.0668014451254166,0.0143569739234046,1.20846521160039e-05,,,No
cg00646396,0.0404566651514345,0.00694380618045746,1.01464392910422e-07,,,No
cg00674004,-0.066439924376206,0.015727761270164,6.04933421938402e-05,,,No
cg00695391,-0.059723335418076,0.0130740430490534,1.67307884369224e-05,,,No
cg00698916,-0.0410895044358676,0.0100338196039118,9.66765502046269e-05,,,No
cg00701706,0.0401794347307647,0.00982859304094931,9.91693985068356e-05,,,No
cg00707741,-0.0554701606669801,0.0114796085001983,6.01747494847119e-06,,,No
cg00718036,0.0337540894705773,0.00801144437903576,6.30075735140429e-05,,,No
cg00739778,-0.0878181281551851,0.0146264288630609,4.73538083801854e-08,,,No
cg00782811,0.0432909139780323,0.01012202674395,4.98831612540128e-05,,,No
cg00855901,-0.0683662835747244,0.0125187082710945,4.72092525347557e-07,,,No
cg00873517,-0.0363321072700646,0.0066617181279101,4.86555696311874e-07,,,No
cg00875272,-0.00394124119335385,0.000950266061029913,8.00204668593748e-05,,,No
cg00904823,0.0409090290143018,0.00899673578204772,1.81246870909459e-05,,,No
cg00944421,0.120678858135138,0.0216710446207761,3.01431236822895e-07,,,No
cg00980581,0.0443791367352943,0.0101758933519622,3.65044710657307e-05,,,No
cg00989249,-0.0584065423434951,0.00919511159027324,1.04242030747706e-08,,,No
cg01004017,0.0464144999226155,0.0107360196970583,4.20317928954477e-05,,,No
cg01037823,-0.0406188033980907,0.00869581820500317,1.12660168436697e-05,,,No
cg01097408,-0.0523320378897855,0.0101979784426159,1.82297900341158e-06,,,No
cg01108243,-0.0561608484087186,0.00894842912776747,1.45348284735787e-08,,,No
cg01109135,-0.0313398998155742,0.00545196480002557,1.41326007981138e-07,,,No
cg01121603,0.0667885826139467,0.0130926390510579,2.06084421245685e-06,,,No
cg01131866,-0.0300658064916304,0.00620175735197635,5.65306116420804e-06,,,No
cg01143454,-0.067037830243189,0.0135498091734863,3.81324487708559e-06,,,No
cg01156948,-0.00213757186743776,0.000502495829904358,5.42855490552911e-05,,,No
cg01164574,0.0765251073976096,0.0182109480670479,6.56095973812708e-05,,,No
cg01185345,-0.0496207178277162,0.00750942761421959,3.36715838707454e-09,,,No
cg01189606,-0.0593706144047421,0.0135916388198814,3.55689335508803e-05,,,No
cg01190666,-0.0336913086051957,0.00661053625930127,2.09961664192705e-06,,,No
cg01242676,-0.0476757959845338,0.00839691718230289,1.90522038310611e-07,,,No
cg01245966,-0.00864818283000499,0.00180497019606262,7.05963788267757e-06,,,No
cg01260308,0.015081764404654,0.0034784815067518,4.01302918602707e-05,,,No
cg01262865,0.0207982480178554,0.00484773309362364,4.74780740818124e-05,,,No
cg01289343,-0.0483951416907077,0.0116238587776712,7.55339857714825e-05,,,No
cg01307108,0.0403574898177206,0.00923837562473004,3.55305356762706e-05,,,No
