#Supplementary Table 3. Continuous Alcohol Phenotype: The CpGs with P<1x10-7 in Meta-analysis of Whole Blood Samples of African Ancestry,,,,,,,,,,,,
#IlmnID,"UCSC Gene",Chr,Position,P,Beta,SE,"Beta Change","UCSC CpG Islands Name","Relation_to_UCSC_CpG_Island",DMR,Enhancer,DHS
cpg,gene,chr,position,beta,se,p.value,beta,cpg.island,relation,dmr,enhancer,dhs
cg05603985,SKI,1,2161049,7.86E-13,-5.61E-05,7.83E-06,22,chr1:2158212-2161173,Island,,,
cg16395997,WDR8,1,3562798,8.88E-09,6.99E-05,1.22E-05,10,chr1:3559952-3561009,S_Shore,,,
cg11832534,WDR8,1,3563998,3.17E-09,3.57E-05,6.03E-06,9,chr1:3566445-3569636,N_Shelf,,,
cg02448796,KCNAB2,1,6101339,6.95E-11,7.79E-05,1.19E-05,5,,,,,1
cg04885881,,1,11123118,3.07E-09,-9.12E-05,1.54E-05,33,chr1:11119030-11120634,S_Shelf,,,
cg23090529,,1,51442133,1.56E-08,-9.34E-05,1.65E-05,28,chr1:51443311-51444036,N_Shore,RDMR,,
cg03607951,IFI44L,1,79085586,8.55E-09,-0.0001244504,2.16E-05,187,,,,,
cg18085280,,1,92004374,2.03E-09,-3.76E-05,6.27E-06,4,chr1:92001023-92001444,S_Shelf,,,
cg18146737,GFI1,1,92946700,1.53E-09,-7.83E-05,1.30E-05,43,chr1:92945907-92952609,Island,,1,
cg12876356,GFI1,1,92946825,5.86E-13,-0.0001129709,1.57E-05,31,chr1:92945907-92952609,Island,,,
cg18316974,GFI1,1,92947035,1.90E-09,-5.52E-05,9.19E-06,37,chr1:92945907-92952609,Island,CDMR,,
cg09935388,GFI1,1,92947588,2.07E-17,-0.000166773,1.96E-05,32,chr1:92945907-92952609,Island,CDMR,,
cg03044573,GAS5,1,173835265,9.71E-10,-0.0001259781,2.06E-05,8,chr1:173837172-173837917,N_Shore,,,
cg21115691,FCAMR,1,207140927,7.74E-08,8.78E-06,1.63E-06,0,,,,,
cg05053365,,1,244175136,5.53E-10,-5.22E-05,8.42E-06,0,,,,1,
cg22082665,NCRNA00201,1,245011429,5.83E-11,-5.69E-05,8.69E-06,11,,,,,
cg00123017,,2,3696748,4.44E-09,-2.25E-05,3.83E-06,64,chr2:3698659-3698875,N_Shore,,,
cg19427338,,2,42566455,1.23E-08,4.30E-05,7.54E-06,20,,,,,
cg15705813,,2,70297499,3.46E-11,-6.83E-05,1.03E-05,15,,,,1,
cg04423209,SH2D6,2,85663660,4.25E-08,3.97E-05,7.24E-06,10,chr2:85664694-85665055,N_Shore,,,
cg18524934,NEURL3,2,97164073,1.89E-08,-4.35E-05,7.73E-06,2,chr2:97166208-97166660,N_Shelf,,,
cg02233149,NEURL3,2,97171243,2.11E-13,-6.59E-05,8.98E-06,5,chr2:97173851-97174485,N_Shelf,,,1
cg06121808,SLC20A1,2,113404678,2.95E-08,-5.58E-05,1.01E-05,14,chr2:113403001-113404079,S_Shore,,,
cg19827923,GPR55,2,231790777,7.14E-08,-3.50E-05,6.50E-06,23,,,,,
cg27241845,,2,233250370,4.28E-11,-7.76E-05,1.18E-05,48,chr2:233251361-233253414,N_Shore,RDMR,,1
cg03329539,,2,233283329,9.43E-08,-6.34E-05,1.19E-05,40,chr2:233283397-233285959,N_Shore,,,
cg21566642,,2,233284661,9.09E-10,-0.0001191746,1.95E-05,58,chr2:233283397-233285959,Island,DMR,,
cg01940273,,2,233284934,3.83E-10,-9.79E-05,1.56E-05,57,chr2:233283397-233285959,Island,,,
cg27493243,,2,233366070,1.91E-10,-2.65E-05,4.17E-06,1,chr2:233367780-233368577,N_Shore,,1,
cg26078407,HDAC4,2,240225062,3.16E-08,4.20E-05,7.60E-06,11,,,,,
cg14615927,HDAC4,2,240259213,1.13E-10,5.76E-05,8.94E-06,10,,,,1,
cg18062721,VGLL4,3,11643427,2.50E-09,7.70E-05,1.29E-05,14,,,,,
cg13958389,VGLL4,3,11643630,9.89E-08,6.05E-05,1.14E-05,5,,,,,
cg23482898,CAND2,3,12858887,2.12E-08,5.50E-05,9.82E-06,54,chr3:12856649-12856863,S_Shelf,,,
cg11882607,CAND2,3,12858926,8.14E-08,6.04E-05,1.13E-05,18,chr3:12856649-12856863,S_Shelf,,,
cg25221975,FBLN2,3,13663444,7.34E-11,8.57E-05,1.32E-05,6,,,,,
cg07449209,,3,117267936,1.16E-08,-5.65E-05,9.91E-06,19,,,,1,
cg19534753,MYLK,3,123340306,3.62E-08,-3.46E-05,6.29E-06,6,,,,,
cg11610002,,3,126080368,1.37E-28,-9.59E-05,8.64E-06,13,chr3:126074783-126076865,S_Shelf,,,
cg25729907,PLSCR1,3,146263345,3.70E-24,-4.92E-05,4.85E-06,11,chr3:146262126-146262505,S_Shore,,,
cg19825437,,3,169383292,3.04E-11,-6.04E-05,9.08E-06,283,chr3:169386268-169387187,N_Shelf,RDMR,,
cg15061231,,3,186353575,9.14E-28,-9.44E-05,8.65E-06,9,,,,,
cg02504211,C3orf21,3,194815434,9.09E-08,4.12E-05,7.71E-06,10,,,,,
cg25120484,,3,197186156,2.03E-22,-4.71E-05,4.83E-06,32,chr3:197183404-197183724,S_Shelf,,,
cg20523947,SCFD2,4,53744073,3.52E-09,-3.25E-05,5.50E-06,10,,,,1,
cg03991871,AHRR,5,368447,5.51E-08,-4.79E-05,8.82E-06,49,chr5:370185-370422,N_Shore,,,1
cg25648203,AHRR,5,395444,5.27E-08,-4.69E-05,8.62E-06,44,,,,,
cg18917643,,5,39476124,3.56E-12,-7.18E-05,1.03E-05,9,,,,,
cg04646205,RGMB,5,98109366,4.38E-08,9.28E-06,1.70E-06,3,chr5:98108678-98110307,Island,,,
cg23205886,SNHG4,5,138611766,4.02E-08,-5.81E-05,1.06E-05,25,chr5:138609320-138609851,S_Shore,,1,
cg20385395,SNHG4,5,138613030,3.41E-10,-6.34E-05,1.01E-05,16,chr5:138609320-138609851,S_Shelf,,,
cg22090064,,5,150767392,1.77E-12,-4.24E-05,6.01E-06,2,,,,1,
cg06230847,TRIM39,6,30297594,1.22E-09,6.37E-05,1.05E-05,12,chr6:30294169-30295071,S_Shelf,,,
cg01383911,TRIM39,6,30297627,1.36E-09,7.34E-05,1.21E-05,121,chr6:30294169-30295071,S_Shelf,,,
cg11594821,HLA-E,6,30458601,7.90E-08,-6.31E-05,1.17E-05,1,chr6:30457369-30458175,S_Shore,,,
cg11460110,PRR3,6,30530458,2.37E-09,4.29E-05,7.18E-06,5,,,,,
cg24859433,,6,30720203,1.86E-09,-4.98E-05,8.28E-06,178,,,,1,1
cg21075643,BTNL2,6,32365785,2.53E-08,-2.65E-05,4.75E-06,1,,,,,
cg03149958,,6,36326677,2.25E-09,-7.06E-05,1.18E-05,4403,,,,1,
cg01281718,SMAP1,6,71376634,6.00E-10,5.49E-05,8.87E-06,303,chr6:71377385-71378178,N_Shore,,,
cg05538701,FAM26D,6,116866658,9.53E-20,-4.17E-05,4.58E-06,250,,,,,
cg03366574,,7,2764599,8.00E-08,4.56E-05,8.49E-06,1288,,,,,
cg07945582,NFE2L3,7,26206579,5.37E-08,-6.61E-05,1.22E-05,2274,,,,1,
cg08549335,ZNRF2,7,30387954,8.60E-08,-9.26E-05,1.73E-05,11,,,,,
cg06682445,URGCP,7,43915791,3.96E-08,5.15E-05,9.38E-06,139,,,,,
cg10691866,TPST1,7,65817282,3.21E-10,-0.0001002235,1.59E-05,18,,,,1,
cg17546215,,7,70577170,2.44E-09,-4.23E-05,7.09E-06,28,,,,,
cg07375256,ZNF498,7,99222196,1.68E-10,7.98E-05,1.25E-05,9,,,CDMR,,
cg18349022,ZNF498,7,99222459,3.58E-11,7.67E-05,1.16E-05,44,,,CDMR,,
cg10401362,DNAJB6,7,157185402,6.04E-13,7.54E-05,1.05E-05,12,,,,,
cg07470207,,8,132828746,1.24E-17,3.51E-05,4.10E-06,85,,,,1,
cg14827056,EIF2C2,8,141550539,6.58E-09,3.69E-05,6.35E-06,377,,,,,
cg12075928,PTK2,8,141801307,5.67E-10,-9.34E-05,1.51E-05,23,,,,1,1
cg25998745,,8,142028625,3.98E-11,-7.73E-05,1.17E-05,11,,,,,
cg22524735,BREA2,8,144779094,1.39E-24,-2.90E-05,2.84E-06,2,chr8:144776009-144776734,S_Shelf,,,
cg20555778,MIR2278,9,97572199,5.90E-08,-2.40E-05,4.43E-06,2,,,,,
cg14243616,,9,100688028,1.66E-10,-4.04E-05,6.33E-06,2197,chr9:100684498-100685051,S_Shelf,,,
